energy,Flux,Type,Label
0.9287079266123891,9.296294194978963e-16,0,Data
0.9287079266123891,1.275362969022404e-15,0,Upper
0.9287079266123891,5.646255977990509e-16,0,Lower
1.1078348421514217,7.11398059241078e-16,1,Data
1.1078348421514217,9.759703403970537e-16,1,Upper
1.1078348421514217,4.481345732514857e-16,1,Lower
1.3215113194537182,5.12279577009288e-16,2,Data
1.3215113194537182,6.943034060353155e-16,2,Upper
1.3240198583420764,3.306482261687636e-16,2,Lower
1.5734144833067445,1.2909680465989433e-15,3,Data
1.5734144833067445,1.5120893855847447e-15,3,Upper
1.5734144833067445,1.0498488106413314e-15,3,Lower
1.8768908241270899,6.943034060353155e-16,4,Data
1.8768908241270899,8.963235118364004e-16,4,Upper
1.8768908241270899,4.762301657957703e-16,4,Lower
2.2389009400046915,1.928462808226615e-15,5,Data
2.2389009400046915,2.3427088051342613e-15,5,Upper
2.2389009400046915,1.530590998645383e-15,5,Lower
2.6707346824422795,8.332487059907854e-16,6,Data
2.6656746059115677,1.1021825252050135e-15,6,Upper
2.6707346824422795,5.785274146439191e-16,6,Lower
3.1858594619130938,1.1571250131961428e-15,7,Data
3.1858594619130938,1.422882421559407e-15,7,Upper
3.179823410185697,9.072907409904737e-16,7,Lower
3.7931399794789615,6.454448723080199e-16,8,Data
3.7931399794789615,8.642108575959922e-16,8,Upper
3.7931399794789615,4.1659908318871267e-16,8,Lower
4.5247515499866795,5.185477239872689e-16,9,Data
4.5247515499866795,7.468604063867941e-16,9,Upper
4.5247515499866795,2.8924616240911175e-16,9,Lower
5.397474572483122,5.927715123069819e-16,10,Data
5.397474572483122,9.072907409904737e-16,10,Upper
5.397474572483122,2.822956755849623e-16,10,Lower
6.438526279014733,1.0413713704334615e-16,11,Data
6.426327599778267,6.073663181873203e-16,11,Upper
6.475261428380269,1.0287833896043317e-16,11,Lower
