E(MeV),Flux(erg.cm-2.s-1)
42.09470218508757,5.2406813629680354e-12
74.37829692886697,3.0171148105293018e-12
137.5442759982783,1.908148827872364e-12
232.2115445465924,1.473558381245048e-12
405.6562952329218,1.111522779009386e-12
716.7653602877157,8.787747120756417e-13
1266.4725969885164,6.551285568595523e-13
2342.0280325998924,5.240681362968057e-13
3999.2426039381876,5.118982837301131e-13
7311.890286242414,4.659800749965095e-13
13067.509685221505,5.757104089267837e-13
23089.3453341159,1.0358720676445314e-12
41736.80107823838,1.8205561648755705e-12
76308.17647378743,3.2757150983047298e-12
130303.69668292491,5.302611335911993e-12
257999.7487705627,1e-11
411470.48618669517,1.7782794100389227e-11
718808.3320753815,3.27571509830473e-11
