energy,Flux,Type,Label
0.885704528805425,3.2465608713809135e-15,0,Data
0.885704528805425,9.799697134710419e-15,0,Upper
0.885704528805425,1.0081262854300126e-16,0,Lower
0.9664402151954601,1.110949199473414e-16,1,Data
0.9682747457268317,5.276183110865364e-15,1,Upper
0.9664402151954601,1.0081262854300126e-16,1,Lower
1.0565370540564822,4.7300767736357025e-15,2,Data
1.0565370540564822,9.00131167540342e-15,2,Upper
1.0565370540564822,4.826758121821787e-16,2,Lower
1.152844842355592,9.681446414656674e-15,3,Data
1.1550332126530842,1.311446080170727e-14,3,Upper
1.1550332126530842,6.4073490447668005e-15,3,Lower
1.2603193393398315,5.340627247131089e-15,4,Data
1.2603193393398315,7.781026723073829e-15,4,Upper
1.2603193393398315,2.8754079738784685e-15,4,Lower
1.3752027385130001,7.502736320076337e-15,5,Data
1.3752027385130001,9.919392187789863e-15,5,Upper
1.3752027385130001,5.212516607358297e-15,5,Lower
1.5005582418534305,7.23439904423767e-15,6,Data
1.5005582418534305,9.56462259918998e-15,6,Upper
1.5005582418534305,4.965440940808354e-15,6,Lower
1.6404484823382022,1.0799208238325669e-14,7,Data
1.6404484823382022,1.3274642903275354e-14,7,Upper
1.6404484823382022,8.36895732388632e-15,7,Lower
1.7899822488502637,9.799697134710419e-15,8,Data
1.7899822488502637,1.2492829373339156e-14,8,Upper
1.7899822488502637,7.147103193725398e-15,8,Lower
1.9568541770906833,1.5171178988625108e-14,9,Data
1.9568541770906833,1.7550448728699283e-14,9,Upper
1.9568541770906833,1.2492829373339156e-14,9,Lower
2.1352296510940807,7.876065415987314e-15,10,Data
2.1352296510940807,1.1615191168834076e-14,10,Upper
2.1352296510940807,4.039493273424806e-15,10,Lower
2.3298647984540497,1.1900663558432177e-14,11,Data
2.3298647984540497,1.5171178988625108e-14,11,Upper
2.3342874290933047,7.687134840486744e-15,11,Lower
2.5422417566625257,7.876065415987314e-15,12,Data
2.547067528652759,1.054015749158151e-14,12,Upper
2.547067528652759,4.965440940808354e-15,12,Lower
2.7792434276344453,3.665621569993964e-15,13,Data
2.7792434276344453,6.330033018795378e-15,13,Upper
2.7792434276344453,1.0245775024662685e-15,13,Lower
3.0325831345880654,9.449208470176663e-15,14,Data
3.0325831345880654,1.2046020148204963e-14,14,Upper
3.0325831345880654,6.8083272398995406e-15,14,Lower
3.3152971087311793,6.975658919429306e-15,15,Data
3.3152971087311793,9.56462259918998e-15,15,Upper
3.3152971087311793,4.397782466019202e-15,15,Lower
3.6175003593133064,1.3274642903275354e-14,16,Data
3.6175003593133064,1.5926082572344398e-14,16,Upper
3.6175003593133064,1.0668896644749006e-14,16,Lower
3.9472507049723378,5.276183110865364e-15,17,Data
3.9472507049723378,7.594375929926327e-15,17,Upper
3.9472507049723378,2.806432863260295e-15,17,Lower
4.307059179079735,7.876065415987314e-15,18,Data
4.307059179079735,1.054015749158151e-14,18,Upper
4.307059179079735,5.1496183530919274e-15,18,Lower
4.70858677563567,4.787850680595012e-15,19,Data
4.70858677563567,6.8083272398995406e-15,19,Upper
4.70858677563567,1.997686067770462e-15,19,Lower
5.1475469692590154,6.726172701099762e-15,20,Data
5.1475469692590154,1.0163186073749112e-14,20,Upper
5.1475469692590154,3.168682567757056e-15,20,Lower
5.616767487244387,3.3669818344413723e-15,21,Data
5.616767487244387,7.687134840486744e-15,21,Upper
5.627429431233216,1.0204396995678767e-16,21,Lower
6.117147642389318,1.0204396995678767e-16,22,Data
6.128759425444725,4.451497677669727e-15,22,Upper
6.163727193403206,1.0081262854300126e-16,22,Lower
6.700115875321543,3.577690863961421e-15,23,Data
6.700115875321543,1.2799871918073017e-14,23,Upper
6.700115875321543,1.0204396995678767e-16,23,Lower
