energy,Flux,Type,Label
0.9284952024453077,2.55552606544244e-15,0,Data
0.9284952024453077,3.590195599229306e-15,0,Upper
0.9284952024453077,1.5037143849603782e-15,0,Lower
1.1094518796831256,4.523887652789128e-15,1,Data
1.1094518796831256,5.398628767382507e-15,1,Upper
1.1094518796831256,3.590195599229306e-15,1,Lower
1.3200674258111285,4.4025144227508674e-15,2,Data
1.3200674258111285,4.975656534226773e-15,2,Upper
1.3172722211383845,3.89539211744275e-15,2,Lower
1.573998592504771,4.113137503418595e-15,3,Data
1.573998592504771,4.712250253345581e-15,3,Upper
1.573998592504771,3.4938727747491367e-15,3,Lower
1.8767765348688104,3.89539211744275e-15,4,Data
1.8767765348688104,4.5858233661428325e-15,4,Upper
1.8767765348688104,3.2201345286918565e-15,4,Lower
2.237797529557513,5.182829584531156e-15,5,Data
2.237797529557513,6.184984031210508e-15,5,Upper
2.237797529557513,4.169449712064839e-15,5,Lower
2.668265342332702,3.4466848467820985e-15,6,Data
2.668265342332702,4.169449712064839e-15,6,Upper
2.668265342332702,2.625979543438285e-15,6,Lower
3.1815389207716387,3.400134234678954e-15,7,Data
3.1882900328919366,4.169449712064839e-15,7,Upper
3.1815389207716387,2.661931346126137e-15,7,Lower
3.7935469699334905,3.1766436845826173e-15,8,Data
3.7855142437186777,3.89539211744275e-15,8,Upper
3.7935469699334905,2.5210113627991302e-15,8,Lower
4.523282276742107,2.77276705853601e-15,9,Data
4.513704357077646,3.4938727747491367e-15,9,Upper
4.523282276742107,2.1414535638539613e-15,9,Lower
5.393391123729242,4.9084557695559195e-15,10,Data
5.393391123729242,5.857557162059883e-15,10,Upper
5.393391123729242,3.948723214079819e-15,10,Lower
6.4308760837434376,5.398628767382507e-15,11,Data
6.4308760837434376,6.895768562556344e-15,11,Upper
6.4308760837434376,3.89539211744275e-15,11,Lower
