energy,Flux,Type,Label
0.8124245890576948,3.590195599229306e-15,0,Data
0.8124245890576948,9.174838433867192e-15,0,Upper
0.8107043034395638,1.0322372507196748e-16,0,Lower
0.8861900743959581,1.000000000000004e-15,1,Data
0.8861900743959581,4.975656534226773e-15,1,Upper
0.8861900743959581,1.0322372507196748e-16,1,Lower
0.9666532236164788,1.6241641542451253e-14,2,Data
0.9666532236164788,2.046555949505784e-14,2,Upper
0.9666532236164788,1.2374272768847371e-14,2,Lower
1.0544221626100305,2.543968977681696e-14,3,Data
1.0544221626100305,2.954421403606474e-14,3,Upper
1.0544221626100305,2.1905399654587963e-14,3,Lower
1.1526008320958527,3.7227694535028597e-14,4,Data
1.1526008320958527,4.207418847061331e-14,4,Upper
1.1526008320958527,3.2494587155918493e-14,4,Lower
1.257253203437113,3.877775631673883e-14,5,Data
1.257253203437113,4.3826045316956713e-14,5,Upper
1.257253203437113,3.384757498640188e-14,5,Lower
1.3743177446591048,5.2300270733483126e-14,6,Data
1.3743177446591048,5.910899064228018e-14,6,Upper
1.3743177446591048,4.565084480394604e-14,6,Lower
1.499101283721297,6.501179032142505e-14,7,Data
1.499101283721297,7.448129928988876e-14,7,Upper
1.499101283721297,5.6746229202405005e-14,7,Lower
1.6386846258391525,7.550100905217353e-14,8,Data
1.6386846258391525,8.649836012976719e-14,8,Upper
1.6386846258391525,6.680410494533714e-14,8,Lower
1.7874718097445268,8.304076446274083e-14,9,Data
1.7912647611746255,9.643883791544499e-14,9,Upper
1.7874718097445268,7.24830100824442e-14,9,Lower
1.9580518386708385,8.417766028756659e-14,10,Data
1.9539057204181558,9.513634374059428e-14,10,Upper
1.9497683814512026,7.347536163492188e-14,10,Lower
2.1358365169565614,9.009992084665774e-14,11,Data
2.1358365169565614,1.018295948281909e-13,11,Upper
2.1358365169565614,7.97213791361033e-14,11,Lower
2.3248302534461542,7.24830100824442e-14,12,Data
2.319907492486595,8.417766028756659e-14,12,Upper
2.3248302534461542,6.413374699344016e-14,12,Lower
2.5412983334595167,8.304076446274083e-14,13,Data
2.5412983334595167,9.643883791544499e-14,13,Upper
2.546690877887717,7.24830100824442e-14,13,Lower
2.777922048317708,9.25838919071131e-14,14,Data
2.777922048317708,1.0463694209636005e-13,14,Upper
2.777922048317708,8.081282986726625e-14,14,Lower
3.036578116361708,8.649836012976719e-14,15,Data
3.036578116361708,1.0045429358070578e-13,15,Upper
3.036578116361708,7.653467947316372e-14,15,Lower
3.3122894396499105,8.649836012976719e-14,16,Data
3.305275762364826,9.775916429835433e-14,16,Upper
3.3122894396499105,7.448129928988876e-14,16,Lower
3.620701176113987,8.081282986726625e-14,17,Data
3.620701176113987,9.25838919071131e-14,17,Upper
3.620701176113987,7.053833379253307e-14,17,Lower
3.949448955437912,7.653467947316372e-14,18,Data
3.9410861112686306,8.888303950928436e-14,18,Upper
3.949448955437912,6.680410494533714e-14,18,Lower
4.317187473648926,7.150406113979099e-14,19,Data
4.317187473648926,8.081282986726625e-14,19,Upper
4.317187473648926,6.326756243879507e-14,19,Lower
4.709173922088841,7.347536163492188e-14,20,Data
4.709173922088841,8.304076446274083e-14,20,Upper
4.709173922088841,6.501179032142505e-14,20,Lower
5.147651456460439,6.413374699344016e-14,21,Data
5.147651456460439,7.24830100824442e-14,21,Upper
5.147651456460439,5.522376143587217e-14,21,Lower
5.626956225359682,5.991824095573321e-14,22,Data
5.626956225359682,6.771870765263342e-14,22,Upper
5.626956225359682,5.301630411562802e-14,22,Lower
6.137865376228995,5.522376143587217e-14,23,Data
6.137865376228995,6.241307649397494e-14,23,Upper
6.137865376228995,4.7551624068340384e-14,23,Lower
6.695163400582986,5.910899064228018e-14,24,Data
6.695163400582986,6.771870765263342e-14,24,Upper
6.695163400582986,5.159390803308224e-14,24,Lower
