index,x,y,ymin,ymax,flux
0,27.211,1.311,1.194,1.427,4.328707482993197
2,69.391,1.357,1.202,1.515,2.9115646258503403
7,120.245,1.371,1.231,1.514,5.185578231292517
4,94.984,1.398,1.25,1.545,3.4489795918367347
23,305.496,1.469,1.306,1.635,2.621496598639456
6,108.708,1.486,1.35,1.625,6.219591836734694
3,79.559,1.49,1.353,1.625,4.3763265306122445
1,47.838,1.498,1.479,1.52,3.993197278911565
8,131.423,1.499,1.489,1.51,6.951836734693877
5,95.676,1.584,1.438,1.732,4.835918367346938
20,255.113,1.591,1.454,1.727,5.995102040816327
11,160.931,1.594,1.442,1.746,6.437278911564626
10,150.901,1.642,1.503,1.782,7.541768707482993
21,270.455,1.644,1.522,1.766,5.607619047619048
22,287.055,1.699,1.553,1.845,4.362721088435373
19,242.095,1.742,1.569,1.919,3.4285714285714284
9,141.909,1.773,1.615,1.929,6.539863945578231
16,216.972,1.774,1.624,1.923,3.63265306122449
15,201.381,1.79,1.65,1.93,6.682448979591837
12,163.227,1.823,1.666,1.978,5.39156462585034
13,175.111,1.938,1.8,2.079,8.076734693877551
18,237.834,1.965,1.8,2.132,3.88
14,187.879,2.006,1.876,2.139,6.516462585034014
17,223.557,2.008,1.835,2.179,4.077006802721089
