x,y,ymin,ymax
27.211,1.311,1.194,1.427
47.838,1.498,1.479,1.52
69.391,1.357,1.202,1.515
79.559,1.49,1.353,1.625
94.984,1.398,1.25,1.545
95.676,1.584,1.438,1.732
108.708,1.486,1.35,1.625
120.245,1.371,1.231,1.514
131.423,1.499,1.489,1.51
141.909,1.773,1.615,1.929
150.901,1.642,1.503,1.782
160.931,1.594,1.442,1.746
163.227,1.823,1.666,1.978
175.111,1.938,1.8,2.079
187.879,2.006,1.876,2.139
201.381,1.79,1.65,1.93
216.972,1.774,1.624,1.923
223.557,2.008,1.835,2.179
237.834,1.965,1.8,2.132
242.095,1.742,1.569,1.919
255.113,1.591,1.454,1.727
270.455,1.644,1.522,1.766
287.055,1.699,1.553,1.845
305.496,1.469,1.306,1.635
