x,y,no,group
27.211,1.311,0.000,y
27.211,1.427,0.000,ymax
27.211,1.194,0.000,ymin
47.838,1.498,1.000,y
47.838,1.479,1.000,ymax
47.838,1.520,1.000,ymin
69.391,1.357,2.000,y
69.391,1.515,2.000,ymax
69.405,1.202,2.000,ymin
79.559,1.490,3.000,y
79.545,1.625,3.000,ymax
79.545,1.353,3.000,ymin
94.984,1.398,4.000,y
95.109,1.545,4.000,ymax
94.998,1.250,4.000,ymin
95.676,1.584,5.000,y
95.690,1.732,5.000,ymax
95.565,1.438,5.000,ymin
108.708,1.486,6.000,y
108.708,1.625,6.000,ymax
108.708,1.350,6.000,ymin
120.245,1.371,7.000,y
120.245,1.514,7.000,ymax
120.245,1.231,7.000,ymin
131.423,1.499,8.000,y
131.423,1.510,8.000,ymax
131.423,1.489,8.000,ymin
141.909,1.773,9.000,y
141.798,1.929,9.000,ymax
141.909,1.615,9.000,ymin
150.901,1.642,10.000,y
150.901,1.782,10.000,ymax
150.915,1.503,10.000,ymin
160.931,1.594,11.000,y
160.820,1.746,11.000,ymax
160.820,1.442,11.000,ymin
163.227,1.823,12.000,y
163.241,1.978,12.000,ymax
163.241,1.666,12.000,ymin
175.111,1.938,13.000,y
175.221,2.079,13.000,ymax
175.125,1.800,13.000,ymin
187.879,2.006,14.000,y
187.810,2.139,14.000,ymax
187.796,1.876,14.000,ymin
201.381,1.790,15.000,y
201.492,1.930,15.000,ymax
201.381,1.650,15.000,ymin
216.972,1.774,16.000,y
217.069,1.923,16.000,ymax
216.848,1.624,16.000,ymin
223.557,2.008,17.000,y
223.530,2.179,17.000,ymax
223.530,1.835,17.000,ymin
237.834,1.965,18.000,y
237.806,2.132,18.000,ymax
237.931,1.800,18.000,ymin
242.095,1.742,19.000,y
242.095,1.919,19.000,ymax
242.095,1.569,19.000,ymin
255.113,1.591,20.000,y
255.002,1.727,20.000,ymax
255.126,1.454,20.000,ymin
270.455,1.644,21.000,y
270.455,1.766,21.000,ymax
270.468,1.522,21.000,ymin
287.055,1.699,22.000,y
287.055,1.845,22.000,ymax
287.166,1.553,22.000,ymin
305.496,1.469,23.000,y
305.482,1.635,23.000,ymax
305.496,1.306,23.000,ymin
