x,y,no,group
2.621496598639456,1.4715454545454545,0,y
2.6212244897959183,1.6398181818181818,0,ymax
2.6212244897959183,1.3057272727272728,0,ymin
2.9115646258503403,1.3601363636363637,1,y
2.9115646258503403,1.5147727272727274,1,ymax
2.9115646258503403,1.2045454545454546,1,ymin
3.4285714285714284,1.7431818181818182,2,y
3.4285714285714284,1.9204545454545456,2,ymax
3.4285714285714284,1.5693181818181818,2,ymin
3.4489795918367347,1.3988636363636364,3,y
3.4489795918367347,1.5488636363636366,3,ymax
3.4489795918367347,1.2522727272727274,3,ymin
3.63265306122449,1.7760454545454547,4,y
3.63265306122449,1.9272727272727275,4,ymax
3.63265306122449,1.6272727272727274,4,ymin
3.88,1.9670909090909094,5,y
3.8819047619047615,2.135227272727273,5,ymax
3.8821768707482995,1.7999090909090911,5,ymin
3.993197278911565,1.5011363636363637,6,y
3.993197278911565,1.5215909090909092,6,ymax
3.993197278911565,1.4806818181818184,6,ymin
4.077006802721089,2.0101818181818185,7,y
4.077006802721089,2.1852727272727277,7,ymax
4.074829931972789,1.835227272727273,7,ymin
4.328707482993197,1.3125454545454547,8,y
4.328707482993197,1.4295454545454547,8,ymax
4.328707482993197,1.1977272727272728,8,ymin
4.362721088435373,1.7010454545454547,9,y
4.362721088435373,1.8443636363636366,9,ymax
4.362721088435373,1.5585454545454547,9,ymin
4.3763265306122445,1.492,10,y
4.3763265306122445,1.6264545454545458,10,ymax
4.373877551020408,1.358909090909091,10,ymin
4.835918367346938,1.5866363636363638,11,y
4.834557823129252,1.7306363636363638,11,ymax
4.8342857142857145,1.441409090909091,11,ymin
5.185578231292517,1.3740454545454546,12,y
5.185850340136055,1.5157272727272728,12,ymax
5.183673469387755,1.2335909090909092,12,ymin
5.39156462585034,1.8250000000000002,13,y
5.392380952380952,1.977727272727273,13,ymax
5.392108843537415,1.6709090909090911,13,ymin
5.607619047619048,1.6465,14,y
5.60734693877551,1.7704545454545455,14,ymax
5.60734693877551,1.5240454545454547,14,ymin
5.9951020408163265,1.5923636363636366,15,y
5.993469387755102,1.7262727272727274,15,ymax
5.993197278911564,1.4588636363636367,15,ymin
6.219591836734694,1.4866818181818182,16,y
6.22204081632653,1.6231818181818185,16,ymax
6.219863945578231,1.3522272727272728,16,ymin
6.437278911564626,1.5957727272727276,17,y
6.437823129251701,1.745909090909091,17,ymax
6.4353741496598635,1.4437272727272727,17,ymin
6.516462585034014,2.0082727272727277,18,y
6.5167346938775506,2.1389090909090913,18,ymax
6.5148299319727885,1.8769545454545458,18,ymin
6.539863945578231,1.7752272727272729,19,y
6.539591836734694,1.9331363636363639,19,ymax
6.539591836734694,1.6197727272727276,19,ymin
6.682448979591837,1.792409090909091,20,y
6.682176870748299,1.9321818181818184,20,ymax
6.681904761904762,1.652227272727273,20,ymin
6.951836734693877,1.5014090909090911,21,y
6.9523809523809526,1.5079545454545455,21,ymax
6.9523809523809526,1.490909090909091,21,ymin
7.541768707482993,1.6432272727272728,22,y
7.539591836734694,1.7842272727272728,22,ymax
7.53986394557823,1.5064545454545457,22,ymin
8.076734693877551,1.9414545454545458,23,y
8.077551020408162,2.079727272727273,23,ymax
8.076462585034013,1.8018181818181822,23,ymin
