x,y,xmin,xmax,ymin,ymax
-122.099,0.225,-132.044,-111.602,0.174,0.253
-101.665,0.711,-111.602,-91.713,0.648,0.769
-82.320,0.996,-91.713,-72.928,0.885,1.091
-63.846,1.064,-72.928,-53.867,0.944,1.186
-44.626,1.549,-53.867,-34.807,1.402,1.692
-24.243,1.283,-34.807,-17.038,1.202,1.391
-8.840,1.792,-17.038,-4.420,1.613,1.960
0.000,4.522,-4.420,6.354,4.522,4.522
12.096,2.505,6.354,21.171,2.350,2.635
29.827,1.764,21.171,39.779,1.681,1.834
50.092,1.614,39.779,59.669,1.549,1.671
69.613,1.612,59.669,80.110,1.565,1.676
89.746,1.660,80.110,100.089,1.597,1.718
109.945,2.035,100.089,119.890,1.976,2.102
130.018,2.078,119.890,140.331,2.008,2.151
149.599,2.329,140.331,159.393,2.245,2.387
168.140,2.370,159.393,176.906,2.298,2.440
186.181,2.145,176.906,195.934,2.103,2.218
204.427,1.882,195.934,214.641,1.812,1.960
224.125,1.766,214.641,233.702,1.697,1.845
243.404,1.902,233.702,253.591,1.818,1.971
262.983,1.817,253.591,272.928,1.755,1.897
282.991,1.833,272.928,294.210,1.739,1.902
304.773,1.034,294.210,314.365,0.969,1.070
324.125,0.773,314.365,333.160,0.717,0.823
341.989,0.863,333.160,351.381,0.822,0.901
360.773,1.059,351.381,369.514,0.996,1.123
379.006,0.996,369.514,388.398,0.933,1.054
