distance,value,no,group
-132.044,0.237,0.000,xmin
-111.602,0.221,0.000,xmax
-122.099,0.217,0.000,xy
-122.099,0.174,0.000,ymin
-122.099,0.253,0.000,ymax
-111.602,0.711,1.000,xmin
-91.713,0.711,1.000,xmax
-101.657,0.711,1.000,xy
-101.680,0.648,1.000,ymin
-101.657,0.769,1.000,ymax
-91.713,0.996,2.000,xmin
-72.928,0.996,2.000,xmax
-82.320,0.996,2.000,xy
-82.320,0.885,2.000,ymin
-82.320,1.091,2.000,ymax
-72.928,1.059,3.000,xmin
-53.591,1.075,3.000,xmax
-63.890,1.059,3.000,xy
-63.912,0.944,3.000,ymin
-63.735,1.186,3.000,ymax
-54.144,1.549,4.000,xmin
-34.807,1.549,4.000,xmax
-44.575,1.549,4.000,xy
-44.552,1.402,4.000,ymin
-44.751,1.692,4.000,ymax
-34.807,1.276,5.000,xmin
-16.950,1.286,5.000,xmax
-24.133,1.286,5.000,xy
-24.287,1.202,5.000,ymin
-24.309,1.391,5.000,ymax
-17.127,1.787,6.000,xmin
-4.420,1.802,6.000,xmax
-8.840,1.787,6.000,xy
-8.840,1.613,6.000,ymin
-8.840,1.960,6.000,ymax
-4.420,4.522,7.000,xmin
6.077,4.522,7.000,xmax
0.000,4.522,7.000,xy
0.000,4.522,7.000,ymin
0.000,4.522,7.000,ymax
6.630,2.514,8.000,xmin
20.994,2.498,8.000,xmax
12.155,2.504,8.000,xy
11.978,2.350,8.000,ymin
12.155,2.635,8.000,ymax
21.348,1.755,9.000,xmin
39.779,1.771,9.000,xmax
29.834,1.765,9.000,xy
29.834,1.681,9.000,ymin
29.812,1.834,9.000,ymax
39.779,1.613,10.000,xmin
59.669,1.618,10.000,xmax
50.077,1.612,10.000,xy
50.099,1.549,10.000,ymin
50.099,1.671,10.000,ymax
59.669,1.613,11.000,xmin
80.110,1.613,11.000,xmax
69.613,1.609,11.000,xy
69.613,1.565,11.000,ymin
69.613,1.676,11.000,ymax
80.110,1.660,12.000,xmin
100.177,1.660,12.000,xmax
89.702,1.660,12.000,xy
89.856,1.597,12.000,ymin
89.680,1.718,12.000,ymax
100.000,2.040,13.000,xmin
119.890,2.029,13.000,xmax
109.945,2.036,13.000,xy
109.945,1.976,13.000,ymin
109.945,2.102,13.000,ymax
119.890,2.071,14.000,xmin
140.331,2.087,14.000,xmax
130.033,2.077,14.000,xy
130.011,2.008,14.000,ymin
130.011,2.151,14.000,ymax
140.331,2.324,15.000,xmin
159.116,2.335,15.000,xmax
149.547,2.329,15.000,xy
149.724,2.245,15.000,ymin
149.525,2.387,15.000,ymax
159.669,2.372,16.000,xmin
176.972,2.372,16.000,xmax
168.133,2.366,16.000,xy
168.155,2.298,16.000,ymin
168.133,2.440,16.000,ymax
176.840,2.134,17.000,xmin
195.956,2.150,17.000,xmax
186.188,2.150,17.000,xy
186.188,2.103,17.000,ymin
186.166,2.218,17.000,ymax
195.912,1.880,18.000,xmin
214.365,1.881,18.000,xmax
204.420,1.886,18.000,xy
204.442,1.812,18.000,ymin
204.420,1.960,18.000,ymax
214.917,1.771,19.000,xmin
233.702,1.756,19.000,xmax
224.133,1.771,19.000,xy
224.110,1.697,19.000,ymin
224.133,1.845,19.000,ymax
233.702,1.907,20.000,xmin
253.591,1.897,20.000,xmax
243.470,1.902,20.000,xy
243.293,1.818,20.000,ymin
243.448,1.971,20.000,ymax
253.591,1.818,21.000,xmin
272.928,1.818,21.000,xmax
262.983,1.814,21.000,xy
262.983,1.755,21.000,ymin
262.983,1.897,21.000,ymax
272.928,1.834,22.000,xmin
293.923,1.834,22.000,xmax
283.050,1.830,22.000,xy
282.873,1.739,22.000,ymin
283.050,1.902,22.000,ymax
294.497,1.039,23.000,xmin
314.365,1.033,23.000,xmax
304.751,1.029,23.000,xy
304.796,0.969,23.000,ymin
304.773,1.070,23.000,ymax
314.365,0.775,24.000,xmin
333.149,0.774,24.000,xmax
324.133,0.770,24.000,xy
324.133,0.717,24.000,ymin
324.110,0.823,24.000,ymax
333.171,0.859,25.000,xmin
351.381,0.864,25.000,xmax
341.989,0.865,25.000,xy
341.989,0.822,25.000,ymin
341.989,0.901,25.000,ymax
351.381,1.059,26.000,xmin
369.414,1.059,26.000,xmax
360.773,1.059,26.000,xy
360.773,0.996,26.000,ymin
360.773,1.123,26.000,ymax
369.613,0.996,27.000,xmin
388.398,0.996,27.000,xmax
379.006,0.996,27.000,xy
379.006,0.933,27.000,ymin
379.006,1.054,27.000,ymax
