Energy,Flux,FluxErr,Uplims
0.12,7.24e-12,1.5800000000000001e-12,False
0.15,7.69e-12,1.02e-12,False
0.2,8.11e-12,7.299999999999999e-13,False
0.27,7.77e-12,5.699999999999999e-13,False
0.36,8.25e-12,4.8e-13,False
0.48,8.15e-12,4.2e-13,False
0.63,8.34e-12,3.8e-13,False
0.84,7.5e-12,3.6e-13,False
1.11,8.22e-12,3.7e-13,False
1.48,6.79e-12,3.6e-13,False
1.96,5.3399999999999995e-12,3.4999999999999997e-13,False
2.61,5.37e-12,3.8e-13,False
3.46,4.05e-12,3.8e-13,False
4.59,3.0699999999999996e-12,3.7e-13,False
6.1,2.8999999999999998e-12,4e-13,False
8.1,1.28e-12,3e-13,False
10.75,9.240000000000001e-13,3.01e-13,False
18.95,4.66e-13,1.71e-13,False
33.4,3.79e-13,7.58e-14,True
44.35,4.71e-13,9.42e-14,True
58.88,5.82e-13,1.1640000000000001e-13,True
78.18,7.690000000000001e-13,1.538e-13,True
103.8,1.33e-12,2.6600000000000003e-13,True
137.8,1.3799999999999998e-12,2.76e-13,True
183.0,1.8e-12,3.6000000000000003e-13,True
243.0,2.4e-12,4.8e-13,True
322.6,3.19e-12,6.38e-13,True
428.3,4.29e-12,8.58e-13,True
568.7,5.83e-12,1.166e-12,True
755.0,8.1e-12,1.62e-12,True
